Radio Paradise,http://radioparadise.malor.com:8017/radioparadise
Kiss FM,http://mp3.live.tv-radio.com/kissfm/all/kissfm-128k.mp3
Tsf Jazz,http://broadcast.infomaniak.net/tsfjazz-high.mp3
RipRock Radio,http://s9.viastreaming.net:7160/
BBC Radio 4,http://bbc.co.uk/radio/listen/live/r4.asx
Kiss 101,http://tx.whatson.com/icecast.php?i=kiss100.mp3.m3u
Chili,http://media-ice.musicradio.com/ChillMP3.m3u

